id,category_id,is_deleted,created_at,updated_at,deleted_at
5qyiobiuqwm5of3wjn7b8u3o,3s1rh4dgricnul21gc982fab,0,2019-01-02 13:56:29,2019-01-02 13:56:29,
sg0xpv8oz6vtqv75j0uk3mzq,v0ztv9x3af97gbeaqk5alcnu,0,2019-01-02 14:07:58,2019-01-02 14:07:58,
0w78clopemxncz6h0aqmnhf3,3s1rh4dgricnul21gc982fab,0,2019-01-04 12:46:32,2019-01-04 12:46:32,
pv274nmwxb77k79zdddicl88,3s1rh4dgricnul21gc982fab,0,2019-01-04 18:59:15,2019-01-04 18:59:15,
p3b9n3g8z2vo5ch9u2jkfj38,v0ztv9x3af97gbeaqk5alcnu,0,2019-01-04 19:38:56,2019-01-04 19:38:56,
u4pfvh36s92fys4ffebtrvq8,v0ztv9x3af97gbeaqk5alcnu,0,2019-01-08 20:18:41,2019-01-08 20:18:41,
pyp48j44eoe6gsh9rcbd1orb,3s1rh4dgricnul21gc982fab,0,2019-01-08 23:08:51,2019-01-08 23:08:51,
877ninmj231wpbqrwsxmlexd,nfvpfsskoq6j24h2yni5ycec,0,2019-01-09 11:33:29,2019-01-09 11:33:29,
gnhqa2uc26vrdz9xm1j22cml,v0ztv9x3af97gbeaqk5alcnu,0,2019-01-09 16:22:21,2019-01-09 16:22:21,
7w5rtkblzv5z76u3cpzpui1q,3s1rh4dgricnul21gc982fab,0,2019-01-10 03:20:35,2019-01-10 03:20:35,
9nyh570wkms5ejrxkqezl031,3s1rh4dgricnul21gc982fab,0,2019-01-11 08:01:25,2019-01-11 08:01:25,
l1a6ui46gumy7cy44k8isxol,nfvpfsskoq6j24h2yni5ycec,0,2019-01-11 10:20:21,2019-01-11 10:20:21,
58uq1cu7vk9b0v63stv3djqf,3s1rh4dgricnul21gc982fab,0,2019-01-11 22:07:14,2019-01-11 22:07:14,
6b96qpt5rbn44zhrwhoqszs7,3s1rh4dgricnul21gc982fab,0,2019-01-14 11:55:30,2019-01-14 11:55:30,
xufmortaxd2l41cmlp2p7zhy,v0ztv9x3af97gbeaqk5alcnu,0,2019-01-15 11:00:29,2019-01-15 11:00:29,
e8t39dvsp5pu15dh34cv9pdx,sk130d039nnhpji7zcyodv79,0,2019-01-15 12:50:03,2019-01-15 12:50:03,
7p43gff4u19xfawq6n3jmu85,3s1rh4dgricnul21gc982fab,0,2019-01-16 09:44:23,2019-01-16 09:44:23,
1kt07uffmcges65xll5uyt0g,gbb30n80777smjgr7k7gk9pg,0,2019-01-16 09:58:42,2019-01-16 09:58:42,
x5a9y2o67xgi1a8rdfoopoxk,3s1rh4dgricnul21gc982fab,0,2019-01-16 12:39:49,2019-01-16 12:39:49,
j9x02jwg3yxcpb8yy1jzv90r,v0ztv9x3af97gbeaqk5alcnu,0,2019-01-16 16:17:43,2019-01-16 16:17:43,
uqvci7kch08f4ij13tjbyt00,sk130d039nnhpji7zcyodv79,0,2019-01-16 21:30:02,2019-01-16 21:30:02,
a8f6jycdw33qg7w222lq14bb,go50h7s5mz70dn8fbeb39nif,0,2019-01-17 20:34:01,2019-01-17 20:34:01,
i19j1xdppvv09cwbpyg7v65k,sk130d039nnhpji7zcyodv79,0,2019-01-19 02:35:59,2019-01-19 02:35:59,
5gnkc0zegdtdfwe0g308cnzp,v0ztv9x3af97gbeaqk5alcnu,0,2019-01-19 09:20:16,2019-01-19 09:20:16,
z3q0rfq9dclclzuxcwxbms73,3s1rh4dgricnul21gc982fab,0,2019-01-20 09:19:33,2019-01-20 09:19:33,
7w7dzafmorxafrrjtiy1u87g,sk130d039nnhpji7zcyodv79,0,2019-01-21 17:54:52,2019-01-21 17:54:52,
8d2epcnpjlxh2jsivpaz6eyf,v0ztv9x3af97gbeaqk5alcnu,0,2019-01-22 01:35:40,2019-01-22 01:35:40,
